inquiry_id,user_id,procedure_id,created_at,clinic_id
269,761,1,2014-08-18,5
1218,2714,1,2014-06-28,4
1769,223,53,2014-11-16,16
2640,2768,45,2014-11-06,5
94,2286,53,2014-08-07,1
909,159,37,2014-08-19,7
1286,2305,53,2014-06-28,4
1297,2278,45,2014-10-12,3
1507,1030,53,2014-07-02,16
1528,459,37,2014-08-30,4
1660,116,45,2014-08-08,5
1956,2227,37,2014-07-03,8
2083,1778,24,2014-08-13,48
2347,2606,53,2014-07-23,34
2877,876,15,2014-06-21,4
299,1309,53,2014-09-13,1
561,921,37,2014-08-23,7
568,2337,15,2014-07-18,4
614,2996,37,2014-08-03,16
660,2972,37,2014-09-26,39
943,1854,24,2014-08-18,3
956,94,53,2014-06-22,1
1835,1246,24,2014-06-01,48
2061,1813,1,2014-04-12,48
2068,2195,37,2014-08-01,16
2160,1509,24,2014-10-17,7
2240,2187,37,2014-06-28,30
2443,1346,24,2014-09-16,4
196,2589,45,2014-09-15,6
221,1311,53,2014-08-23,8
1204,2120,37,2014-06-29,3
1499,2373,24,2014-05-30,48
1721,48,37,2014-07-30,16
2283,671,37,2014-04-18,3
2704,73,15,2014-07-09,16
2998,102,53,2014-06-24,4
2999,1503,45,2014-09-13,4
242,2435,37,2014-09-30,9
1287,2734,37,2014-10-15,7
1513,787,37,2014-11-05,5
2564,766,1,2014-11-15,34
2574,1376,53,2014-11-26,2
2787,1257,37,2014-08-17,3
2869,231,1,2014-05-04,23
2876,2876,1,2014-04-13,16
222,2711,1,2014-07-05,3
549,2537,15,2014-08-23,19
1722,1294,37,2014-04-11,34
1771,2322,53,2014-11-07,3
805,2360,37,2014-09-11,41
923,2287,1,2014-07-04,16
2070,1986,53,2014-11-28,34
2305,1411,53,2014-04-29,8
2423,1454,1,2014-10-27,4
2542,374,53,2014-09-11,8
162,2805,1,2014-07-30,16
902,2047,37,2014-10-18,48
1704,1022,24,2014-10-17,1
2216,842,15,2014-07-30,26
2473,2115,45,2014-04-21,25
2698,700,37,2014-08-30,16
2997,912,24,2014-05-04,7
153,1284,53,2014-07-18,48
718,2076,37,2014-10-19,1
921,2870,15,2014-10-17,44
1653,1910,1,2014-11-22,5
1928,297,37,2014-07-27,4
2863,1770,1,2014-06-13,7
87,957,1,2014-09-16,1
738,950,37,2014-06-13,16
1229,511,1,2014-10-13,44
1375,268,1,2014-07-20,4
1587,909,45,2014-06-10,1
2238,1057,53,2014-06-14,23
2349,2464,45,2014-10-17,32
2729,267,53,2014-10-30,40
2875,108,1,2014-10-26,3
105,799,1,2014-07-31,48
527,11,15,2014-08-19,7
1315,943,37,2014-10-29,8
1330,772,53,2014-05-22,34
1510,679,37,2014-06-14,2
1605,1626,53,2014-08-27,42
2027,1693,53,2014-11-11,5
2051,266,37,2014-05-20,16
2448,450,24,2014-06-10,34
2656,1324,45,2014-10-09,7
2735,1966,15,2014-10-24,6
2815,2470,53,2014-10-22,7
2819,695,24,2014-07-20,4
2830,2192,15,2014-10-08,6
27,1677,1,2014-08-08,4
843,1368,15,2014-10-20,34
1356,2496,37,2014-05-24,7
1527,2982,24,2014-11-12,3
1989,2095,37,2014-05-03,40
2671,2294,45,2014-06-24,34
2826,1366,37,2014-04-08,7
11,1543,24,2014-09-20,8
120,714,24,2014-09-10,1
702,587,53,2014-09-30,34
929,2458,53,2014-06-13,3
951,962,53,2014-07-26,16
1160,2090,37,2014-10-26,3
1620,1948,1,2014-10-14,7
1629,2043,37,2014-09-03,19
2451,944,1,2014-07-02,16
2515,2331,15,2014-10-01,16
2918,1345,24,2014-11-12,16
150,593,53,2014-08-10,3
556,1884,45,2014-09-25,4
